"Rank","Player","TGT","TGT %","REC","YDS","Y/R","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Ja'Marr Chase (CIN)","175","28.2","127","1,708","13.4","19","17","3","32","0","0","17","276.0","16.2","99.8%"
"2","Justin Jefferson (MIN)","154","29.5","103","1,533","14.9","28","10","1","3","0","0","17","214.5","12.6","99.3%"
"3","Amon-Ra St. Brown (DET)","141","27","115","1,263","11.0","14","12","2","6","0","1","17","201.2","11.8","99.7%"
"4","Brian Thomas Jr. (JAC)","133","25.5","87","1,282","14.7","18","10","6","48","0","0","17","197.0","11.6","91.5%"
"5","Terry McLaurin (WAS)","117","23.4","82","1,096","13.4","12","13","2","2","0","1","17","185.8","10.9","93.4%"
"6","Drake London (ATL)","158","29.5","100","1,271","12.7","12","9","1","-3","0","0","17","180.8","10.6","99.0%"
"7","Mike Evans (TB)","110","19.6","74","1,004","13.6","15","11","0","0","0","0","14","166.4","11.9","93.8%"
"8","Malik Nabers (NYG)","170","30.4","109","1,204","11.0","16","7","5","2","0","0","15","164.6","11.0","29.7%"
"9","CeeDee Lamb (DAL)","152","24.4","101","1,194","11.8","16","6","14","70","0","1","15","162.4","10.8","99.8%"
"10","Courtland Sutton (DEN)","135","24.4","81","1,081","13.3","17","8","0","0","0","1","17","159.3","9.4","94.9%"
"11","Ladd McConkey (LAC)","112","22.7","82","1,149","14.0","15","7","0","0","0","0","16","158.9","9.9","96.6%"
"12","Davante Adams (LAR)","141","26","85","1,063","12.5","16","8","0","0","0","0","14","156.3","11.2","95.8%"
"13","Jameson Williams (DET)","91","17.4","58","1,001","17.3","17","7","11","61","1","0","15","154.2","10.3","95.9%"
"14","Jaxon Smith-Njigba (SEA)","137","24.1","100","1,130","11.3","14","6","5","26","0","0","17","153.0","9.0","99.6%"
"15","Garrett Wilson (NYJ)","154","26.2","101","1,104","10.9","16","7","2","5","0","2","17","150.9","8.9","79.1%"
"16","Jerry Jeudy (CLE)","145","22.8","90","1,229","13.7","13","4","0","0","0","0","17","150.9","8.9","71.3%"
"17","A.J. Brown (PHI)","97","23.3","67","1,079","16.1","17","7","0","0","0","0","13","149.9","11.5","99.0%"
"18","Jordan Addison (MIN)","99","19.1","63","875","13.9","13","9","3","20","1","0","15","149.5","10.0","81.4%"
"19","Tee Higgins (CIN)","109","17.5","73","911","12.5","12","10","0","0","0","1","12","149.1","12.4","98.1%"
"20","Nico Collins (HOU)","99","18","68","1,006","14.8","14","7","0","0","0","0","12","142.6","11.9","99.2%"
"21","Jayden Reed (GB)","75","16.1","55","857","15.6","15","6","20","163","1","1","17","142.0","8.4","52.7%"
"22","DJ Moore (CHI)","140","26.3","98","966","9.9","11","6","14","75","0","1","17","140.1","8.2","87.1%"
"23","Tyreek Hill (MIA)","123","21.8","81","959","11.8","13","6","8","53","0","0","17","137.2","8.1","46.5%"
"24","Zay Flowers (BAL)","116","25.3","74","1,059","14.3","19","4","9","56","0","0","17","135.5","8.0","96.5%"
"25","Calvin Ridley (TEN)","120","24","64","1,017","15.9","19","4","8","55","1","1","17","135.2","8.0","25.0%"
"26","Marvin Harrison Jr. (ARI)","116","21.9","62","885","14.3","14","8","0","0","0","1","17","134.5","7.9","90.7%"
"27","Jauan Jennings (SF)","113","22.1","77","975","12.7","12","6","0","0","0","0","15","133.5","8.9","87.5%"
"28","DeVonta Smith (PHI)","89","21.3","68","833","12.3","14","8","1","1","0","0","13","131.4","10.1","95.3%"
"29","Jakobi Meyers (JAC)","129","24.6","87","1,027","11.8","16","4","2","23","0","0","15","131.0","8.7","86.0%"
"30","Rashod Bateman (BAL)","72","16.1","45","756","16.8","11","9","0","0","0","0","17","129.6","7.6","12.6%"
"31","Darnell Mooney (ATL)","106","19.7","64","992","15.5","21","5","0","0","0","0","16","129.2","8.1","53.6%"
"32","Xavier Worthy (KC)","98","17.3","59","638","10.8","4","6","20","104","3","0","17","128.2","7.5","81.1%"
"33","Puka Nacua (LAR)","106","19.7","79","990","12.5","11","3","11","46","1","0","11","127.6","11.6","99.8%"
"34","DK Metcalf (PIT)","108","23.7","66","992","15.0","20","5","0","0","0","2","15","125.2","8.3","87.1%"
"35","Alec Pierce (IND)","69","13.8","37","824","22.3","13","7","0","0","0","0","16","124.4","7.8","41.2%"
"36","Quentin Johnston (LAC)","91","18.4","55","711","12.9","12","8","3","6","0","0","15","119.7","8.0","48.6%"
"37","Keenan Allen (LAC)","121","24.7","70","744","10.6","9","7","0","0","0","0","15","115.4","7.7","73.5%"
"38","Josh Downs (IND)","107","21.4","72","803","11.2","10","5","1","12","0","0","14","111.5","8.0","55.4%"
"39","Cooper Kupp (SEA)","100","17.6","67","710","10.6","10","6","2","10","0","0","12","108.0","9.0","59.7%"
"40","Khalil Shakir (BUF)","100","20","76","821","10.8","9","4","2","4","0","0","15","106.5","7.1","81.3%"
"41","George Pickens (DAL)","103","16.5","59","900","15.3","17","3","2","-6","0","1","14","105.4","7.5","97.8%"
"42","Nick Westbrook-Ikhine (MIA)","60","10.7","32","497","15.5","4","9","0","0","0","0","14","103.7","7.4","1.0%"
"43","Jalen Tolbert (DAL)","79","12.7","49","610","12.4","8","7","0","0","0","0","17","103.0","6.1","1.7%"
"44","Deebo Samuel Sr. (WAS)","81","16.2","51","670","13.1","10","3","42","136","1","1","15","102.6","6.8","91.2%"
"45","Jalen McMillan (TB)","58","10.3","37","461","12.5","8","8","4","43","0","0","13","98.4","7.6","3.1%"
"46","Michael Pittman Jr. (IND)","111","22.2","69","808","11.7","12","3","0","0","0","1","16","96.8","6.1","85.1%"
"47","Demarcus Robinson (SF)","64","12.8","31","505","16.3","9","7","0","0","0","0","17","92.5","5.4","1.1%"
"48","Jaylen Waddle (MIA)","83","14.9","58","744","12.8","12","2","4","12","0","0","16","91.6","5.7","95.3%"
"49","Adam Thielen (FA)","62","0","48","615","12.8","9","5","0","0","0","0","10","91.5","9.2","6.1%"
"50","DeAndre Hopkins (BAL)","80","17.6","56","610","10.9","6","5","0","0","0","0","16","91.0","5.7","4.3%"
"51","Rome Odunze (CHI)","101","19","54","734","13.6","8","3","3","15","0","1","17","90.9","5.3","82.2%"
"52","Marvin Mims Jr. (DEN)","52","9.5","39","503","12.9","7","6","13","42","0","0","17","90.5","5.3","27.5%"
"53","Wan'Dale Robinson (NYG)","140","25.2","93","699","7.5","4","3","3","18","0","0","17","89.7","5.3","65.1%"
"54","Allen Lazard (FA)","60","0","37","530","14.3","8","6","0","0","0","0","12","89.0","7.4","0.8%"
"55","Tank Dell (HOU)","81","14.6","51","667","13.1","9","3","9","43","0","0","14","89.0","6.4","1.9%"
"56","Chris Godwin Jr. (TB)","62","11","50","576","11.5","7","5","1","2","0","0","7","87.8","12.5","73.7%"
"57","Romeo Doubs (GB)","72","15.5","46","601","13.1","8","4","0","0","0","0","13","86.1","6.6","51.0%"
"58","Andrei Iosivas (CIN)","61","9.7","36","479","13.3","7","6","0","0","0","0","17","83.9","4.9","9.9%"
"59","Calvin Austin III (PIT)","58","12.6","36","548","15.2","10","4","0","0","0","1","17","82.8","4.9","9.3%"
"60","Keon Coleman (BUF)","57","11.4","29","556","19.2","12","4","1","9","0","0","13","82.5","6.3","33.3%"
"61","Tre Tucker (LV)","81","13.7","47","539","11.5","6","3","9","44","1","0","17","82.3","4.8","46.9%"
"62","DeMario Douglas (NE)","87","17.4","66","621","9.4","8","3","3","16","0","0","17","81.7","4.8","12.3%"
"63","Kayshon Boutte (NE)","68","13.6","43","589","13.7","11","3","0","0","0","0","15","78.9","5.3","18.8%"
"64","Amari Cooper (FA)","85","0","44","547","12.4","8","4","0","0","0","0","13","78.7","6.1","1.9%"
"65","Ray-Ray McCloud III (FA)","87","0","62","686","11.1","8","1","10","79","0","2","17","78.5","4.6","0.9%"
"66","Michael Wilson (ARI)","71","13.6","47","548","11.7","10","4","1","7","0","1","16","77.5","4.8","88.6%"
"67","Christian Watson (GB)","53","11.4","29","620","21.4","12","2","4","23","0","1","15","76.3","5.1","49.9%"
"68","Xavier Legette (CAR)","84","16.7","49","497","10.1","7","4","6","24","0","0","16","76.1","4.8","12.4%"
"69","Jalen Nailor (MIN)","42","8.4","28","414","14.8","8","6","3","-4","0","1","17","75.0","4.4","3.0%"
"70","Stefon Diggs (NE)","64","12.8","47","496","10.6","5","3","3","8","1","0","8","74.9","9.4","93.8%"
"71","KaVontae Turpin (DAL)","52","8.3","31","420","13.5","6","2","16","92","0","1","17","73.2","4.3","3.7%"
"72","Tyler Lockett (LV)","74","12.6","49","600","12.2","7","2","0","0","0","0","17","72.0","4.2","3.6%"
"73","Dontayvion Wicks (GB)","76","16.2","39","415","10.6","4","5","0","0","0","0","17","71.5","4.2","3.8%"
"74","Darius Slayton (NYG)","71","12.9","39","573","14.7","9","2","2","17","0","0","16","71.0","4.4","31.5%"
"75","Joshua Palmer (BUF)","65","13","39","584","15.0","10","1","0","0","0","0","15","68.4","4.6","5.3%"
"76","Mack Hollins (NE)","50","10","31","378","12.2","4","5","0","0","0","0","17","67.8","4.0","3.8%"
"77","Olamide Zaccheaus (CHI)","64","12.2","45","506","11.2","5","3","1","8","0","1","17","67.4","4.0","3.1%"
"78","Marquez Valdes-Scantling (PIT)","44","9.5","19","411","21.6","8","4","1","4","0","0","13","65.5","5.0","1.1%"
"79","Devaughn Vele (NO)","55","10.8","41","475","11.6","7","3","0","0","0","0","13","65.5","5.0","13.4%"
"80","Parker Washington (JAC)","51","9.8","32","390","12.2","6","3","0","0","0","0","17","65.0","3.8","24.7%"
"81","Ricky Pearsall (SF)","46","9.1","31","400","12.9","5","3","3","45","0","0","11","62.5","5.7","59.8%"
"82","Jalen Coker (CAR)","46","9.2","32","478","14.9","6","2","0","0","0","0","11","60.6","5.5","18.2%"
"83","Elijah Moore (DEN)","102","18.6","61","538","8.8","5","1","1","1","0","0","17","59.9","3.5","0.6%"
"84","Rashid Shaheed (SEA)","41","7.2","20","349","17.5","5","3","6","29","0","1","6","59.8","10.0","56.2%"
"85","Tim Patrick (JAC)","44","8.6","33","394","11.9","6","3","0","0","0","0","16","59.4","3.7","1.1%"
"86","Tutu Atwell (LAR)","62","11.7","42","562","13.4","10","0","2","7","0","0","17","56.9","3.3","1.3%"
"87","Diontae Johnson (FA)","67","0","33","375","11.4","5","3","2","6","0","0","11","56.1","5.1","3.1%"
"88","Greg Dortch (ARI)","50","9.8","37","342","9.2","2","3","5","31","0","1","17","53.3","3.1","2.3%"
"89","David Moore (CAR)","57","11.3","32","351","11.0","2","3","1","0","0","0","17","53.1","3.1","0.8%"
"90","Cedric Tillman (CLE)","49","7.7","29","339","11.7","6","3","1","-5","0","1","11","51.4","4.7","8.4%"
"91","Noah Brown (WAS)","56","11.2","35","453","12.9","4","1","0","0","0","0","11","51.3","4.7","0.8%"
"92","Sterling Shepard (TB)","51","9.1","32","334","10.4","4","1","8","69","0","0","14","48.3","3.5","2.6%"
"93","Chris Olave (NO)","44","8.6","32","400","12.5","4","1","1","7","0","1","8","44.7","5.6","93.8%"
"94","Christian Kirk (HOU)","47","8.4","27","379","14.0","7","1","0","0","0","0","8","43.9","5.5","23.8%"
"95","Brandin Cooks (BUF)","54","10.8","26","259","10.0","3","3","3","-3","0","0","10","43.6","4.4","1.9%"
"96","Rashee Rice (KC)","29","5.2","24","288","12.0","3","2","1","1","0","0","4","40.9","10.2","87.3%"
"97","Justin Watson (HOU)","32","5.9","22","289","13.1","2","2","0","0","0","0","16","40.9","2.6","1.8%"
"98","Van Jefferson (TEN)","40","8","24","276","11.5","4","2","0","0","0","0","15","39.6","2.6","0.9%"
"99","Kalif Raymond (DET)","22","4.4","17","215","12.6","3","2","2","0","0","0","12","39.5","3.3","0.6%"
"100","Tyler Boyd (FA)","57","0","39","390","10.0","4","0","1","3","0","0","15","39.3","2.6","1.2%"
"101","Troy Franklin (DEN)","53","9.6","28","263","9.4","5","2","2","8","0","0","16","39.1","2.4","54.4%"
"102","Brandon Aiyuk (SF)","47","9.2","25","374","15.0","5","0","0","0","0","0","7","37.4","5.3","33.9%"
"103","Dyami Brown (JAC)","40","8","30","308","10.3","5","1","3","26","0","1","15","37.4","2.5","1.7%"
"104","Kendrick Bourne (SF)","38","7.6","28","305","10.9","2","1","1","6","0","0","12","37.1","3.1","4.0%"
"105","Mike Williams (FA)","34","0","21","298","14.2","6","1","0","0","0","0","14","35.8","2.6","1.2%"
"106","Tyler Johnson (NYJ)","41","7.1","26","291","11.2","4","1","0","0","0","0","11","35.1","3.2","0.6%"
"107","JuJu Smith-Schuster (KC)","26","4.8","18","231","12.8","3","2","0","0","0","0","14","35.1","2.5","1.8%"
"108","Nelson Agholor (FA)","29","0","14","231","16.5","5","2","0","0","0","0","13","35.1","2.7","1.0%"
"109","Gabe Davis (BUF)","42","8.4","20","239","12.0","6","2","0","0","0","1","10","33.9","3.4","1.1%"
"110","Lil'Jordan Humphrey (DEN)","45","8.2","31","293","9.5","5","1","0","0","0","1","14","33.3","2.4","0.7%"
"111","Curtis Samuel (BUF)","46","9.2","31","253","8.2","2","1","5","14","0","0","14","32.7","2.3","1.1%"
"112","John Metchie III (NYJ)","37","6.3","24","254","10.6","3","1","0","0","0","0","13","31.4","2.4","6.5%"
"113","DJ Turner (FA)","29","0","16","158","9.9","2","1","5","33","1","0","13","31.1","2.4","1.0%"
"114","Adonai Mitchell (NYJ)","55","9.4","23","312","13.6","4","0","4","6","0","1","17","30.8","1.8","31.3%"
"115","Jordan Whittington (LAR)","28","5.2","22","293","13.3","4","0","2","12","0","0","15","30.5","2.0","1.3%"
"116","Cedrick Wilson Jr. (MIA)","27","4.8","20","211","10.6","1","1","0","0","0","1","15","29.9","2.0","1.1%"
"117","Malik Washington (MIA)","36","6.5","26","223","8.6","2","0","5","25","1","1","14","28.8","2.1","14.4%"
"118","Derius Davis (LAC)","17","3.4","13","112","8.6","1","2","12","39","0","0","15","27.1","1.8","0.6%"
"119","Josh Reynolds (NYJ)","24","4","13","194","14.9","4","1","0","0","0","0","8","25.4","3.2","2.1%"
"120","Tylan Wallace (BAL)","12","2.5","11","193","17.5","2","1","0","0","0","0","17","25.3","1.5","0.6%"
"121","KhaDarel Hodge (ATL)","12","2.3","7","131","18.7","3","1","0","0","0","0","16","25.1","1.6","0.7%"
"122","Ryan Miller (NYG)","20","3.6","12","128","10.7","2","2","0","0","0","0","11","24.8","2.3","1.0%"
