"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
"Â ","","",""
"Ja'Marr Chase","CIN","120.1","1,580.9","12.2","1.6","12.7","0.0","0.6","231.7"
"Justin Jefferson","MIN","103.5","1,443.3","9.5","0.5","2.2","0.0","0.6","200.2"
"CeeDee Lamb","DAL","112.1","1,395.2","8.1","9.1","58.8","0.3","1.0","194.0"
"Nico Collins","HOU","92.2","1,315.2","9.0","0.0","1.6","0.0","0.5","184.5"
"Malik Nabers","NYG","107.0","1,343.6","8.3","2.6","12.2","0.0","0.6","184.3"
"Puka Nacua","LAR","103.8","1,347.7","6.8","10.7","61.4","0.6","0.6","184.1"
"Brian Thomas Jr.","JAC","91.9","1,293.9","8.6","3.8","24.9","0.0","0.6","182.6"
"Amon-Ra St. Brown","DET","109.7","1,257.8","8.8","1.9","12.6","0.1","0.9","178.1"
"A.J. Brown","PHI","84.9","1,243.0","8.4","0.0","0.0","0.0","0.9","172.7"
"Drake London","ATL","95.7","1,231.1","8.2","0.3","2.0","0.0","0.6","171.3"
"Tyreek Hill","MIA","92.7","1,171.4","7.7","7.3","41.0","0.1","0.6","167.2"
"Mike Evans","TB","79.8","1,073.5","10.0","0.0","0.0","0.0","0.5","166.2"
"Ladd McConkey","LAC","90.1","1,206.0","7.5","0.0","1.4","0.0","0.7","164.6"
"Tee Higgins","CIN","86.2","1,096.1","8.9","0.0","0.0","0.0","0.9","161.4"
"Terry McLaurin","WAS","84.3","1,122.0","8.2","1.1","4.8","0.0","0.9","160.4"
"Davante Adams","LAR","85.1","1,098.3","8.3","0.3","0.0","0.0","0.5","158.6"
"DK Metcalf","PIT","78.6","1,144.1","7.3","0.0","1.2","0.0","1.3","155.9"
"Xavier Worthy","KC","74.5","926.4","7.5","15.5","84.7","1.5","0.5","154.0"
"Marvin Harrison Jr.","ARI","78.7","1,087.2","7.6","0.0","3.2","0.0","1.0","152.7"
"Jaxon Smith-Njigba","SEA","93.1","1,110.7","6.6","2.7","20.9","0.0","0.6","151.6"
"Jameson Williams","DET","62.4","991.0","6.4","7.4","63.4","0.8","0.5","147.9"
"Zay Flowers","BAL","77.0","1,044.6","6.4","8.2","48.5","0.1","0.5","147.4"
"Courtland Sutton","DEN","76.6","1,016.6","7.6","0.0","0.2","0.0","0.9","145.6"
"Calvin Ridley","TEN","71.4","1,045.0","6.0","5.6","33.4","0.3","0.9","144.0"
"DJ Moore","CHI","87.3","1,009.5","6.4","9.5","53.8","0.1","0.9","143.9"
"Garrett Wilson","NYJ","91.2","1,088.8","6.0","1.9","13.5","0.0","1.3","143.5"
"Tetairoa McMillan","CAR","80.7","1,047.5","6.4","0.5","7.6","0.0","1.2","141.8"
"George Pickens","DAL","69.6","1,018.8","6.4","1.0","6.2","0.0","0.9","139.4"
"DeVonta Smith","PHI","81.2","977.2","7.0","0.3","1.2","0.0","0.5","138.9"
"Jerry Jeudy","CLE","82.8","1,121.9","4.2","0.3","4.8","0.0","0.6","136.9"
"Deebo Samuel Sr.","WAS","65.5","832.4","5.1","29.2","124.2","1.3","1.0","132.0"
"Jaylen Waddle","MIA","77.7","993.3","5.0","2.8","16.4","0.1","0.5","130.4"
"Matthew Golden","GB","65.2","904.6","6.1","0.5","9.4","0.0","0.8","126.4"
"Travis Hunter","JAC","71.6","928.0","5.4","3.8","21.7","0.1","0.8","126.2"
"Rome Odunze","CHI","68.5","917.7","5.6","1.3","8.0","0.0","0.9","124.7"
"Ricky Pearsall","SF","63.4","851.5","5.5","7.0","54.0","0.3","0.6","124.2"
"Jakobi Meyers","JAC","77.7","907.4","4.9","1.2","8.7","0.0","0.5","120.2"
"Chris Olave","NO","75.1","941.1","4.3","0.3","2.6","0.0","0.9","118.5"
"Keon Coleman","BUF","52.3","822.3","6.1","0.3","3.8","0.0","0.5","118.3"
"Cooper Kupp","SEA","74.9","846.5","5.6","1.3","9.2","0.0","0.6","118.1"
"Stefon Diggs","NE","77.5","854.4","5.3","1.3","6.8","0.2","0.5","118.0"
"Jauan Jennings","SF","65.4","850.7","5.1","2.4","10.8","0.1","0.6","116.2"
"Emeka Egbuka","TB","65.3","827.9","5.7","1.6","11.5","0.0","1.1","116.0"
"Rashid Shaheed","SEA","55.5","840.5","4.7","8.0","46.7","0.1","1.2","115.4"
"Jordan Addison","MIN","58.0","760.6","6.1","0.9","6.6","0.2","0.4","113.5"
"Darnell Mooney","ATL","61.1","864.2","4.6","0.0","1.5","0.0","0.5","113.1"
"Michael Pittman Jr.","IND","78.1","884.3","4.2","0.3","2.0","0.0","0.9","112.2"
"Jayden Reed","GB","52.6","703.2","5.2","11.1","79.8","0.7","0.9","111.8"
"Chris Godwin Jr.","TB","67.6","784.6","5.1","1.6","8.1","0.0","0.6","109.0"
"Khalil Shakir","BUF","71.0","803.1","4.9","0.5","3.0","0.0","0.6","108.7"
"Marvin Mims Jr.","DEN","52.8","697.8","5.4","11.9","49.7","0.1","0.6","106.6"
"Rashod Bateman","BAL","47.7","714.7","5.8","0.0","0.6","0.0","0.1","106.2"
"Rashee Rice","KC","61.9","733.1","5.4","0.8","4.1","0.0","0.6","104.9"
"Josh Downs","IND","69.0","767.3","4.5","0.3","5.8","0.0","0.5","103.4"
"Cedric Tillman","CLE","58.0","734.0","4.1","0.7","0.8","0.0","0.9","96.4"
"Xavier Legette","CAR","60.1","678.1","4.3","6.2","30.6","0.1","0.5","96.0"
"Marquise Brown","KC","55.4","682.7","4.4","0.3","2.0","0.0","0.2","94.3"
"Keenan Allen","LAC","55.4","638.8","4.8","0.3","2.0","0.0","0.6","91.6"
"Christian Kirk","HOU","54.3","698.3","3.7","0.7","4.0","0.0","0.8","90.6"
"Brandon Aiyuk","SF","45.0","685.8","3.7","0.0","0.8","0.0","0.5","90.0"
"Jayden Higgins","HOU","50.0","663.6","3.9","0.7","4.0","0.0","0.4","89.3"
"DeMario Douglas","NE","60.8","646.4","3.5","2.1","15.9","0.0","0.2","87.0"
"Joshua Palmer","BUF","44.5","622.5","3.8","0.0","0.5","0.0","0.1","84.6"
"Romeo Doubs","GB","46.9","598.2","4.3","0.0","0.5","0.0","0.5","84.5"
"Wan'Dale Robinson","NYG","69.2","625.7","3.1","2.0","15.8","0.0","0.5","82.2"
"Michael Wilson","ARI","44.9","540.2","4.1","1.9","8.9","0.1","0.5","78.6"
"Tyler Lockett","LV","49.2","570.3","3.4","0.0","0.0","0.0","0.1","77.0"
"Calvin Austin III","PIT","41.0","547.6","3.5","2.3","11.8","0.1","0.5","76.0"
"Luther Burden III","CHI","44.8","542.1","3.2","3.6","27.2","0.4","1.1","76.0"
"Alec Pierce","IND","31.1","536.5","3.5","0.0","0.0","0.0","0.1","74.3"
"Tre Harris","LAC","40.6","542.4","3.4","0.7","3.8","0.0","0.7","73.7"
"Quentin Johnston","LAC","34.4","452.0","4.1","1.7","7.3","0.0","0.4","69.8"
"Darius Slayton","NYG","35.5","534.3","2.5","1.4","6.4","0.0","0.2","69.2"
"DeAndre Hopkins","BAL","34.1","434.5","4.2","0.0","0.5","0.0","0.1","68.2"
"Josh Reynolds","NYJ","37.1","483.7","3.2","0.0","0.0","0.0","0.1","67.3"
"Tutu Atwell","LAR","39.9","507.9","2.2","4.3","20.2","0.1","0.1","66.4"
"Nick Westbrook-Ikhine","MIA","31.3","427.2","3.7","0.0","1.3","0.0","0.1","64.7"
"Jalen Tolbert","DAL","35.7","422.0","3.6","0.0","0.0","0.0","0.1","63.5"
"Troy Franklin","DEN","34.6","434.2","3.3","1.1","6.1","0.0","0.1","63.5"
"Jalen Coker","CAR","38.9","487.9","2.4","0.0","2.3","0.0","0.1","63.3"
"Tory Horton","SEA","36.8","485.5","2.5","1.0","8.0","0.0","1.0","62.1"
"Dyami Brown","JAC","35.7","455.0","2.5","0.7","6.8","0.0","0.5","60.4"
"Pat Bryant","DEN","34.2","416.6","3.1","0.0","0.0","0.0","0.1","59.8"
"Andrei Iosivas","CIN","31.2","379.2","3.7","0.0","0.0","0.0","0.1","59.7"
"Kyle Williams","NE","33.5","428.5","2.5","2.1","13.3","0.0","0.4","58.7"
"Kayshon Boutte","NE","31.9","428.1","2.7","0.0","0.0","0.0","0.1","58.7"
"Noah Brown","WAS","33.8","434.1","2.2","0.0","0.0","0.0","0.1","56.2"
"Jordan Whittington","LAR","33.9","395.0","2.4","1.1","13.9","0.0","0.1","55.1"
"Elic Ayomanor","TEN","33.3","404.6","2.3","0.0","5.7","0.0","0.1","54.7"
"Tre Tucker","LV","28.4","359.4","2.1","5.6","31.6","0.3","0.1","53.9"
"Roman Wilson","PIT","30.3","378.5","2.6","0.0","0.0","0.0","0.1","53.1"
"Isaac TeSlaa","DET","28.4","375.3","2.3","0.0","0.0","0.0","0.1","51.3"
"Adonai Mitchell","NYJ","28.3","371.0","2.2","2.9","9.5","0.1","0.4","50.5"
"Greg Dortch","ARI","33.0","329.1","2.5","4.8","30.6","0.1","0.4","50.5"
"Christian Watson","GB","19.9","355.3","2.3","3.3","14.0","0.0","0.4","50.2"
"Dontayvion Wicks","GB","25.6","321.4","3.0","0.0","1.3","0.0","0.0","50.2"
"KaVontae Turpin","DAL","23.7","289.7","1.9","8.3","57.9","0.5","0.7","47.7"
"Brandin Cooks","BUF","28.5","325.1","2.4","1.7","1.8","0.0","0.1","46.8"
"Jamari Thrash","CLE","29.5","355.8","1.9","0.0","0.0","0.0","0.1","46.7"
"Curtis Samuel","BUF","26.9","271.9","2.5","6.6","29.3","0.1","0.1","45.5"
"Dont'e Thornton Jr.","LV","24.9","324.6","2.0","0.0","2.0","0.0","0.1","44.6"
"Jalen Nailor","MIN","21.0","285.6","2.6","1.8","3.1","0.0","0.4","43.8"
"Malik Washington","MIA","30.0","313.0","1.8","2.0","13.8","0.1","0.6","42.9"
"Van Jefferson","TEN","23.6","303.8","1.9","0.0","0.0","0.0","0.1","41.6"
"Devaughn Vele","NO","27.5","292.0","1.7","0.0","1.7","0.0","0.2","39.1"
"JuJu Smith-Schuster","KC","24.7","273.3","1.9","0.0","0.0","0.0","0.1","38.5"
"Jalen McMillan","TB","18.0","222.6","2.3","1.4","12.2","0.0","0.4","36.4"
"Gabe Davis","BUF","17.0","242.0","2.0","0.0","0.0","0.0","0.0","36.2"
"Jaylin Noel","HOU","21.8","251.2","1.4","0.0","13.0","0.0","0.0","35.0"
"Jack Bech","LV","20.0","243.1","1.5","0.0","2.5","0.0","0.0","33.4"
"Chimere Dike","TEN","18.8","222.8","1.5","2.1","8.9","0.0","0.0","32.2"
"David Moore","CAR","18.7","229.8","1.3","0.0","0.0","0.0","0.1","30.4"
"Demarcus Robinson","SF","12.7","194.1","1.8","0.0","0.8","0.0","0.0","30.3"
"Isaiah Bond","CLE","18.3","221.5","1.3","0.0","0.0","0.0","0.0","29.7"
"Jake Bobo","SEA","16.9","203.6","1.3","0.0","0.0","0.0","0.1","28.2"
"Jahan Dotson","PHI","15.0","180.6","1.3","0.0","1.7","0.0","0.0","26.1"
"Parker Washington","JAC","17.6","186.9","1.2","0.0","5.7","0.0","0.1","26.0"
"Zay Jones","ARI","16.6","178.5","1.3","0.0","2.0","0.0","0.1","25.5"
"Kalif Raymond","DET","14.5","182.3","1.1","0.0","4.0","0.0","0.6","24.3"
"Olamide Zaccheaus","CHI","15.0","165.4","1.1","1.1","6.0","0.0","0.1","23.5"
"Elijah Moore","DEN","14.4","158.9","1.2","0.0","1.3","0.0","0.0","23.4"
"Xavier Hutchinson","HOU","14.5","172.1","1.0","0.0","0.0","0.0","0.1","23.0"
"Jalen Royals","KC","13.8","155.4","1.2","0.0","2.5","0.0","0.0","22.7"
"Mack Hollins","NE","12.3","153.0","1.1","0.0","1.7","0.0","0.0","22.1"
"KhaDarel Hodge","ATL","12.2","161.2","1.0","0.0","2.0","0.0","0.1","22.0"
"Dareke Young","SEA","15.4","171.4","0.9","0.0","0.0","0.0","0.5","21.6"
"Jalin Hyatt","NYG","12.0","159.5","0.9","0.0","0.0","0.0","0.0","21.0"
"Arian Smith","NYJ","13.4","161.0","0.7","0.0","5.5","0.0","0.0","20.9"
"Luke McCaffrey","WAS","13.2","136.1","1.0","0.0","1.0","0.0","0.1","19.6"
"Tai Felton","MIN","10.1","118.2","1.0","0.0","1.7","0.0","0.0","17.8"
"Marquez Valdes-Scantling","PIT","7.0","112.0","1.0","0.0","2.0","0.0","0.0","17.4"
"Tyquan Thornton","KC","8.1","116.5","0.9","0.0","0.0","0.0","0.0","16.8"
"Savion Williams","GB","7.6","89.3","0.8","4.5","19.5","0.1","0.0","16.0"
"Tim Patrick","JAC","8.6","104.1","0.7","0.0","0.0","0.0","0.0","14.4"
"Tylan Wallace","BAL","6.8","87.5","0.9","0.0","1.7","0.0","0.0","14.1"
"Jimmy Horn Jr.","CAR","8.2","98.1","0.6","0.0","0.0","0.0","0.0","13.6"
"Jaylin Lane","WAS","6.9","79.6","0.5","2.2","13.5","0.1","0.1","13.3"
"Sterling Shepard","TB","8.5","88.7","0.6","0.8","7.0","0.0","0.0","13.1"
"Casey Washington","ATL","7.4","89.8","0.7","0.0","0.0","0.0","0.0","12.9"
"Ryan Flournoy","DAL","7.7","83.6","0.6","0.0","0.0","0.0","0.1","11.6"
"KeAndre Lambert-Smith","LAC","5.9","77.6","0.6","0.0","3.0","0.0","0.0","11.4"
"Devontez Walker","BAL","5.2","71.0","0.7","0.0","1.7","0.0","0.0","11.3"
"Bo Melton","GB","6.6","78.1","0.6","0.0","0.0","0.0","0.0","11.3"
"Xavier Restrepo","TEN","4.0","40.0","1.0","0.0","2.0","0.0","0.0","10.2"
"Xavier Gipson","NYG","7.4","81.3","0.4","0.0","3.7","0.0","0.5","9.9"
"Trey Palmer","NO","6.6","76.9","0.3","0.0","2.0","0.0","0.0","9.8"
"Irvin Charles","NYJ","6.4","68.3","0.5","0.0","0.0","0.0","0.0","9.5"
"Malik Heath","ATL","5.8","66.0","0.4","0.0","2.0","0.0","0.0","9.4"
"Cody White","SEA","5.4","66.6","0.4","0.0","0.0","0.0","0.0","9.1"
"Skyy Moore","SF","5.4","66.1","0.4","0.0","0.0","0.0","0.0","8.9"
"John Metchie III","NYJ","6.2","68.2","0.3","0.0","0.0","0.0","0.0","8.6"
"Tyler Johnson","NYJ","7.0","80.0","0.0","0.0","0.0","0.0","0.0","8.0"
"Efton Chism III","NE","4.9","56.9","0.4","0.0","0.0","0.0","0.0","8.0"
"Mason Tipton","NO","5.2","54.8","0.4","0.0","0.0","0.0","0.0","7.6"
"Derius Davis","LAC","2.8","31.2","0.1","10.5","35.5","0.2","0.6","7.5"
"Trent Sherfield Sr.","NE","4.4","52.8","0.4","0.0","0.0","0.0","0.0","7.3"
"Tez Johnson","TB","4.0","49.4","0.2","0.0","0.0","0.0","0.0","6.3"
"Ben Skowronek","PIT","4.0","43.9","0.3","0.0","0.0","0.0","0.0","6.1"
"Xavier Weaver","ARI","3.4","39.9","0.3","0.0","0.0","0.0","0.0","5.8"
"Justin Watson","HOU","3.3","44.8","0.2","0.0","0.0","0.0","0.0","5.7"
"Jordan Watkins","SF","3.0","42.7","0.2","0.0","2.5","0.0","0.0","5.6"
"Scotty Miller","PIT","3.9","47.0","0.1","0.0","0.0","0.0","0.0","5.4"
"Charlie Jones","CIN","3.3","39.1","0.2","0.0","1.7","0.0","0.0","5.4"
"Bryce Oliver","TEN","3.4","38.2","0.2","0.0","0.0","0.0","0.0","5.2"
"Gage Larvadain","CLE","3.6","39.0","0.2","0.0","0.0","0.0","0.0","4.8"
"Dee Eskridge","MIA","2.9","32.4","0.2","0.0","1.7","0.0","0.0","4.7"
"Lil'Jordan Humphrey","DEN","4.0","44.0","0.0","0.0","0.0","0.0","0.0","4.4"
"Brycen Tremayne","CAR","2.6","29.0","0.1","0.0","0.0","0.0","0.0","3.7"
"Nick Nash","WAS","3.0","35.0","0.0","0.0","0.0","0.0","0.0","3.5"
"DeAndre Carter","CLE","3.9","39.4","0.0","0.0","3.0","0.0","0.5","3.5"
"Mitch Tinsley","CIN","2.5","28.8","0.1","0.0","0.0","0.0","0.0","3.4"
"Malachi Corley","CLE","3.0","29.0","0.0","0.0","2.0","0.0","0.0","3.1"
"Konata Mumpfield","LAR","1.8","21.2","0.2","0.0","0.0","0.0","0.0","3.0"
"Anthony Gould","IND","1.8","22.8","0.1","0.0","2.5","0.0","0.0","2.8"
"Tyrell Shavers","BUF","1.5","20.1","0.1","0.0","0.0","0.0","0.0","2.8"
"Cedrick Wilson Jr.","MIA","2.0","22.0","0.0","0.0","6.0","0.0","0.0","2.8"
"Dante Pettis","NO","2.0","22.0","0.0","0.0","6.0","0.0","0.0","2.8"
"Kendrick Bourne","SF","2.0","22.0","0.0","0.0","5.0","0.0","0.0","2.7"
"Tyler Scott","LAR","2.0","22.0","0.0","0.0","5.0","0.0","0.0","2.7"
"Ashton Dulin","IND","1.7","19.4","0.1","0.0","1.7","0.0","0.0","2.6"
"Beaux Collins","NYG","1.7","19.1","0.1","0.0","0.0","0.0","0.0","2.5"
"Isaiah Williams","NYJ","1.0","14.0","0.0","0.0","0.0","0.0","0.0","1.4"
"Ryan Miller","NYG","0.8","9.7","0.1","0.0","0.0","0.0","0.0","1.4"
"Xavier Smith","LAR","1.0","11.0","0.0","2.2","9.6","0.1","0.5","1.3"
"Braxton Berrios","HOU","1.0","10.5","0.0","0.0","2.5","0.0","0.0","1.3"
"Tank Dell","HOU","1.0","12.0","0.0","0.0","0.0","0.0","0.0","1.2"
"LaJohntay Wester","BAL","1.0","12.0","0.0","0.0","0.0","0.0","0.0","1.2"
"Devin Duvernay","CHI","2.0","23.0","0.0","0.0","6.0","0.0","1.0","0.9"
"Jacob Cowing","SF","0.0","0.0","0.0","0.0","8.5","0.0","0.0","0.9"
"Jason Brownlee","KC","0.5","7.0","0.0","0.0","0.0","0.0","0.0","0.7"
"Nikko Remigio","KC","0.5","6.5","0.0","0.0","0.0","0.0","0.0","0.7"
"Trent Taylor","SF","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"David Sills V","ATL","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"D.J. Montgomery","IND","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Treylon Burks","WAS","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Jonathan Mingo","DAL","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Brandon Johnson","DEN","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Bryce Ford-Wheaton","NYG","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Bub Means","NO","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Joshua Cephus","JAC","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Tahj Washington","MIA","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Kameron Johnson","TB","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Ihmir Smith-Marsette","ARI","0.0","0.0","0.0","0.0","5.0","0.0","1.0","-1.5"
""
""